sid,dat,tim,open_value,low,high,close_value,volume
267,2020-05-04,13:07:00,2256.38,2256.5,2326,2300.09,3360744
292,2020-05-04,13:07:00,27.6,27.39,28.42,27.6898,9723319
146,2020-05-04,13:06:00,200.2,198.76,205,203.38,10049213
178,2020-05-04,13:06:00,1308.13,1296.01,1314.99,1309.26,798374
267,2020-05-04,13:06:00,2256.38,2256.5,2326,2299.5,3355962
292,2020-05-04,13:06:00,27.6,27.39,28.42,27.7,9692060
632,2020-05-04,13:06:00,73.72,72.13,77.9,76.49,166585
711,2020-05-04,13:06:00,417.78,414.87,428.54,422.935,4794205
971,2020-05-04,13:06:00,22.21,21.35,22.42,22.4,532750
365,2020-05-04,13:06:00,289.17,286.33,292.1,289.59,19412136
413,2020-05-04,13:06:00,18,17.42,18.69,18.52,1134735
579,2020-05-04,13:06:00,701,698,748.8,733.74,11957249
365,2020-05-04,13:05:00,289.17,286.33,292.1,289.655,19371492
413,2020-05-04,13:05:00,18,17.42,18.69,18.52,1132169
579,2020-05-04,13:05:00,701,698,748.8,734.3,11929018
146,2020-05-04,13:05:00,200.2,198.76,205,203.37,10029253
178,2020-05-04,13:05:00,1308.13,1296.01,1314.99,1309.49,797546
267,2020-05-04,13:05:00,2256.38,2256.5,2326,2299.01,3344299
292,2020-05-04,13:05:00,27.6,27.39,28.42,27.72,9653922
632,2020-05-04,13:05:00,73.72,72.13,77.9,76.49,166580
711,2020-05-04,13:05:00,417.78,414.87,428.54,423.43,4776552
971,2020-05-04,13:05:00,22.21,21.35,22.42,22.415,530927
632,2020-05-04,13:04:00,73.72,72.13,77.9,76.49,166377
711,2020-05-04,13:04:00,417.78,414.87,428.54,423.51,4761544
971,2020-05-04,13:04:00,22.21,21.35,22.42,22.42,529297
365,2020-05-04,13:04:00,289.17,286.33,292.1,289.88,19313280
413,2020-05-04,13:04:00,18,17.42,18.69,18.555,1127864
579,2020-05-04,13:04:00,701,698,748.8,735.1,11903554
146,2020-05-04,13:04:00,200.2,198.76,205,203.4,10012626
178,2020-05-04,13:04:00,1308.13,1296.01,1314.99,1309.34,795830
267,2020-05-04,13:04:00,2256.38,2256.5,2326,2299.91,3337203
292,2020-05-04,13:04:00,27.6,27.39,28.42,27.7427,9637061
146,2020-05-04,13:03:00,200.2,198.76,205,203.33,9985625
178,2020-05-04,13:03:00,1308.13,1296.01,1314.99,1308.14,795097
267,2020-05-04,13:03:00,2256.38,2256.5,2326,2300.01,3333070
292,2020-05-04,13:03:00,27.6,27.39,28.42,27.7599,9617343
632,2020-05-04,13:03:00,73.72,72.13,77.9,76.49,166276
711,2020-05-04,13:03:00,417.78,414.87,428.54,423.34,4753053
971,2020-05-04,13:03:00,22.21,21.35,22.4,22.39,528656
365,2020-05-04,13:03:00,289.17,286.33,292.1,289.789,19259483
413,2020-05-04,13:03:00,18,17.42,18.69,18.555,1125906
579,2020-05-04,13:03:00,701,698,748.8,736.29,11886805
365,2020-05-04,13:02:00,289.17,286.33,292.1,289.54,19205307
413,2020-05-04,13:02:00,18,17.42,18.69,18.51,1121279
579,2020-05-04,13:02:00,701,698,748.8,736.834,11873150
146,2020-05-04,13:02:00,200.2,198.76,205,203.21,9964543
178,2020-05-04,13:02:00,1308.13,1296.01,1314.99,1308.14,794089
267,2020-05-04,13:02:00,2256.38,2256.5,2326,2300.93,3331034
292,2020-05-04,13:02:00,27.6,27.39,28.42,27.72,9596834
632,2020-05-04,13:02:00,73.72,72.13,77.9,76.49,165993
711,2020-05-04,13:02:00,417.78,414.87,428.54,423.23,4738744
971,2020-05-04,13:02:00,22.21,21.35,22.4,22.35,528422
632,2020-05-04,13:01:00,73.72,72.13,77.9,76.53,165777
711,2020-05-04,13:01:00,417.78,414.87,428.54,422.91,4727029
971,2020-05-04,13:01:00,22.21,21.35,22.4,22.35,526849
365,2020-05-04,13:01:00,289.17,286.33,292.1,289.41,19132500
413,2020-05-04,13:01:00,18,17.42,18.69,18.51,1111702
579,2020-05-04,13:01:00,701,698,748.8,736.54,11863792
146,2020-05-04,13:01:00,200.2,198.76,205,203.126,9944762
178,2020-05-04,13:01:00,1308.13,1296.01,1314.99,1307.65,792977
267,2020-05-04,13:01:00,2256.38,2256.5,2326,2299.96,3323253
292,2020-05-04,13:01:00,27.6,27.39,28.42,27.72,9588546
146,2020-05-04,13:00:00,200.2,198.76,205,203.21,9917522
178,2020-05-04,13:00:00,1308.13,1296.01,1314.99,1308.14,789236
267,2020-05-04,13:00:00,2256.38,2256.5,2326,2300.18,3316366
292,2020-05-04,13:00:00,27.6,27.39,28.42,27.74,9565536
632,2020-05-04,13:00:00,73.72,72.13,77.9,76.73,164449
711,2020-05-04,13:00:00,417.78,414.87,428.54,423.57,4706899
971,2020-05-04,13:00:00,22.21,21.35,22.4,22.34,521577
365,2020-05-04,13:00:00,289.17,286.33,292.1,289.67,19058214
413,2020-05-04,13:00:00,18,17.42,18.69,18.53,1100456
579,2020-05-04,13:00:00,701,698,748.8,737.45,11847247
365,2020-05-04,12:59:00,289.17,286.33,292.1,289.46,19013705
413,2020-05-04,12:59:00,18,17.42,18.69,18.52,1098058
579,2020-05-04,12:59:00,701,698,748.8,736.941,11818298
146,2020-05-04,12:59:00,200.2,198.76,205,203.16,9906979
178,2020-05-04,12:59:00,1308.13,1296.01,1314.99,1308.08,788473
267,2020-05-04,12:59:00,2256.38,2256.5,2326,2300.33,3314565
292,2020-05-04,12:59:00,27.6,27.39,28.42,27.76,9553730
632,2020-05-04,12:59:00,73.72,72.13,77.9,76.72,164246
711,2020-05-04,12:59:00,417.78,414.87,428.54,423.69,4700966
971,2020-05-04,12:59:00,22.21,21.35,22.4,22.34,521557
632,2020-05-04,12:58:00,73.72,72.13,77.9,76.72,164082
711,2020-05-04,12:58:00,417.78,414.87,428.54,423.6,4684474
971,2020-05-04,12:58:00,22.21,21.35,22.4,22.34,520855
365,2020-05-04,12:58:00,289.17,286.33,292.1,289.43,18951149
413,2020-05-04,12:58:00,18,17.42,18.69,18.52,1097858
579,2020-05-04,12:58:00,701,698,748.8,735.68,11793988
146,2020-05-04,12:58:00,200.2,198.76,205,203.19,9885150
178,2020-05-04,12:58:00,1308.13,1296.01,1314.99,1307.68,786549
267,2020-05-04,12:58:00,2256.38,2256.5,2326,2300.98,3308896
292,2020-05-04,12:58:00,27.6,27.39,28.42,27.74,9543093
146,2020-05-04,12:57:00,200.2,198.76,205,203.189,9867405
178,2020-05-04,12:57:00,1308.13,1296.01,1314.99,1308.2,785918
267,2020-05-04,12:57:00,2256.38,2256.5,2326,2298.76,3300660
292,2020-05-04,12:57:00,27.6,27.39,28.42,27.745,9493047
632,2020-05-04,12:57:00,73.72,72.13,77.9,76.72,163917
711,2020-05-04,12:57:00,417.78,414.87,428.54,423.55,4667714
971,2020-05-04,12:57:00,22.21,21.35,22.4,22.34,520710
365,2020-05-04,12:57:00,289.17,286.33,292.1,289.35,18906255
413,2020-05-04,12:57:00,18,17.42,18.69,18.55,1093758
579,2020-05-04,12:57:00,701,698,748.8,736.5,11769270
365,2020-05-04,12:56:00,289.17,286.33,292.1,289.315,18840744
413,2020-05-04,12:56:00,18,17.42,18.69,18.525,1087349
579,2020-05-04,12:56:00,701,698,748.8,735.33,11749309
146,2020-05-04,12:56:00,200.2,198.76,205,203.229,9852956
178,2020-05-04,12:56:00,1308.13,1296.01,1314.99,1308.04,784316
267,2020-05-04,12:56:00,2256.38,2256.5,2326,2300.69,3297350
292,2020-05-04,12:56:00,27.6,27.39,28.42,27.76,9483820
632,2020-05-04,12:56:00,73.72,72.13,77.9,76.555,163393
711,2020-05-04,12:56:00,417.78,414.87,428.54,423.88,4654567
971,2020-05-04,12:56:00,22.21,21.35,22.4,22.34,520201
632,2020-05-04,12:55:00,73.72,72.13,77.9,76.43,163162
711,2020-05-04,12:55:00,417.78,414.87,428.54,423.825,4643464
971,2020-05-04,12:55:00,22.21,21.35,22.4,22.35,519079
365,2020-05-04,12:55:00,289.17,286.33,292.1,289.2,18764624
413,2020-05-04,12:55:00,18,17.42,18.69,18.52,1084416
579,2020-05-04,12:55:00,701,698,748.8,735.84,11722547
146,2020-05-04,12:55:00,200.2,198.76,205,203.117,9822198
178,2020-05-04,12:55:00,1308.13,1296.01,1314.99,1308.08,782103
267,2020-05-04,12:55:00,2256.38,2256.5,2326,2297.05,3286852
